epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1185.65,0.95587,0.46459,1.18689,0.95811,0.97245,0.9809,0.78984,0.82525,0.38852,1.14824,0.000371375,0.000371375,0.000371375
73,1201.47,0.94159,0.45175,1.18527,0.97059,0.97043,0.98073,0.79296,0.82366,0.39162,1.15648,0.000359,0.000359,0.000359
74,1217.33,0.8929,0.74826,1.13314,0.97451,0.96472,0.98787,0.8123,0.80332,0.38071,1.14075,0.000346625,0.000346625,0.000346625
75,1233.27,0.91033,0.43667,1.15936,0.96429,0.95903,0.98579,0.80007,0.80012,0.39109,1.14629,0.00033425,0.00033425,0.00033425
76,1249.22,0.90985,0.44152,1.16558,0.96541,0.965,0.97663,0.80246,0.78942,0.39062,1.13524,0.000321875,0.000321875,0.000321875
77,1264.98,0.9233,0.45527,1.18404,0.97658,0.97212,0.98007,0.79637,0.81086,0.39567,1.14342,0.0003095,0.0003095,0.0003095
78,1280.98,0.91382,0.44004,1.15876,0.97185,0.96136,0.97898,0.79688,0.82621,0.40027,1.14313,0.000297125,0.000297125,0.000297125
79,1296.9,0.90781,0.43694,1.16056,0.96701,0.96582,0.98438,0.80108,0.79508,0.37524,1.13928,0.00028475,0.00028475,0.00028475
80,1312.91,0.91495,0.44079,1.1651,0.97365,0.96206,0.98251,0.7985,0.8253,0.38789,1.14964,0.000272375,0.000272375,0.000272375
81,1328.72,0.92197,0.43778,1.17511,0.97282,0.95556,0.98467,0.80756,0.79062,0.38157,1.13782,0.00026,0.00026,0.00026
82,1344.82,0.88477,0.42973,1.14914,0.97813,0.96797,0.98427,0.8017,0.81847,0.37417,1.15028,0.000247625,0.000247625,0.000247625
83,1360.78,0.8857,0.4251,1.14649,0.96834,0.965,0.97782,0.80423,0.78568,0.37945,1.12783,0.00023525,0.00023525,0.00023525
84,1376.66,0.88795,0.4424,1.14809,0.97199,0.96167,0.97805,0.80243,0.79665,0.37926,1.13514,0.000222875,0.000222875,0.000222875
85,1392.44,0.87993,0.42216,1.13356,0.96935,0.965,0.98226,0.8051,0.80192,0.3743,1.14331,0.0002105,0.0002105,0.0002105
86,1408.56,0.88699,0.4219,1.13794,0.97301,0.96471,0.97946,0.80073,0.81461,0.3776,1.14305,0.000198125,0.000198125,0.000198125
87,1424.58,0.87166,0.41831,1.12935,0.97439,0.96813,0.98039,0.80589,0.80288,0.37565,1.13744,0.00018575,0.00018575,0.00018575
88,1440.47,0.8671,0.41704,1.12633,0.96906,0.96321,0.97747,0.80913,0.78228,0.38036,1.12368,0.000173375,0.000173375,0.000173375
89,1456.28,0.86615,0.42953,1.13562,0.97899,0.95947,0.977,0.81009,0.77147,0.37287,1.1204,0.000161,0.000161,0.000161
90,1471.98,0.87068,0.4285,1.14089,0.97746,0.96803,0.97763,0.81209,0.78392,0.37872,1.12695,0.000148625,0.000148625,0.000148625
91,1507.88,0.83733,0.39698,1.19445,0.97526,0.96017,0.97771,0.80639,0.77453,0.38535,1.12168,0.00013625,0.00013625,0.00013625
92,1523.42,0.80965,0.37826,1.17021,0.97289,0.97183,0.97838,0.80925,0.77281,0.37484,1.11727,0.000123875,0.000123875,0.000123875
93,1538.93,0.80797,0.37598,1.15368,0.97709,0.96848,0.97555,0.80371,0.78512,0.37673,1.12854,0.0001115,0.0001115,0.0001115
94,1554.46,0.79393,0.37111,1.14647,0.97135,0.96703,0.97561,0.803,0.7779,0.37566,1.12083,9.9125e-05,9.9125e-05,9.9125e-05
95,1569.91,0.8,0.37229,1.14137,0.97351,0.97259,0.97798,0.80153,0.79323,0.37931,1.12534,8.675e-05,8.675e-05,8.675e-05
96,1585.49,0.78311,0.36784,1.14469,0.97575,0.97331,0.97774,0.8087,0.78928,0.37198,1.12643,7.4375e-05,7.4375e-05,7.4375e-05
97,1601.02,0.78077,0.37126,1.14524,0.9667,0.96635,0.97764,0.80372,0.7811,0.3758,1.12232,6.2e-05,6.2e-05,6.2e-05
98,1616.57,0.78977,0.36673,1.14281,0.97892,0.96728,0.97811,0.81221,0.776,0.37054,1.1151,4.9625e-05,4.9625e-05,4.9625e-05
99,1632.04,0.81033,0.39863,1.18166,0.97433,0.96854,0.97874,0.81212,0.77135,0.36848,1.11359,3.725e-05,3.725e-05,3.725e-05
100,1647.6,0.75834,0.3581,1.14501,0.97449,0.96876,0.97768,0.81161,0.77262,0.37054,1.11393,2.4875e-05,2.4875e-05,2.4875e-05
