epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,29763,0.73671,0.35054,0.97802,0.96996,0.9725,0.97628,0.85457,0.81324,0.45451,1.25398,0.00026,0.00026,0.00026
82,30132.1,0.73117,0.34806,0.97951,0.96509,0.98361,0.97964,0.85828,0.83561,0.45654,1.26309,0.000247625,0.000247625,0.000247625
83,30502.7,0.73414,0.35078,0.98378,0.96764,0.97781,0.97974,0.86866,0.81721,0.45325,1.23946,0.00023525,0.00023525,0.00023525
84,30899.1,0.72894,0.34744,0.97831,0.96286,0.98083,0.9784,0.86093,0.8415,0.46675,1.28386,0.000222875,0.000222875,0.000222875
85,31307.4,0.72139,0.34595,0.97722,0.96403,0.98649,0.97916,0.85559,0.8514,0.45052,1.28995,0.0002105,0.0002105,0.0002105
86,31682.6,0.72604,0.34531,0.97935,0.96878,0.97887,0.97797,0.85631,0.80083,0.43924,1.23063,0.000198125,0.000198125,0.000198125
87,32006.8,0.72194,0.34523,0.97183,0.9653,0.98498,0.97931,0.86233,0.80651,0.4582,1.24315,0.00018575,0.00018575,0.00018575
88,32373.6,0.72059,0.34397,0.98034,0.97049,0.98014,0.97986,0.86302,0.83726,0.45574,1.27548,0.000173375,0.000173375,0.000173375
89,32698.9,0.70927,0.33988,0.97531,0.9656,0.98381,0.97773,0.85942,0.82302,0.4557,1.25401,0.000161,0.000161,0.000161
90,33074.6,0.7172,0.34208,0.97159,0.96481,0.98424,0.97539,0.85601,0.83408,0.45068,1.27114,0.000148625,0.000148625,0.000148625
91,33496.1,0.69186,0.31331,1.00091,0.95793,0.98575,0.98192,0.86048,0.82508,0.45497,1.26218,0.00013625,0.00013625,0.00013625
92,33836.6,0.67847,0.30769,0.99588,0.9612,0.98286,0.97861,0.86034,0.80028,0.44893,1.25314,0.000123875,0.000123875,0.000123875
93,34073.5,0.67979,0.30521,0.99542,0.95967,0.98631,0.98107,0.86855,0.82817,0.46065,1.26911,0.0001115,0.0001115,0.0001115
94,34339.8,0.67729,0.30482,0.99808,0.96559,0.98203,0.97572,0.86517,0.82141,0.45762,1.26442,9.9125e-05,9.9125e-05,9.9125e-05
95,34593,0.66922,0.30243,0.99114,0.96053,0.98361,0.98031,0.87084,0.83123,0.47105,1.26891,8.675e-05,8.675e-05,8.675e-05
96,34878.6,0.66281,0.30077,0.99116,0.96265,0.98648,0.97788,0.86839,0.81221,0.45345,1.25093,7.4375e-05,7.4375e-05,7.4375e-05
97,35123.9,0.66635,0.3013,0.9915,0.96203,0.97937,0.98032,0.87261,0.81357,0.45012,1.25897,6.2e-05,6.2e-05,6.2e-05
98,35406.4,0.65482,0.29737,0.97972,0.94874,0.99109,0.97354,0.86451,0.82163,0.45605,1.26319,4.9625e-05,4.9625e-05,4.9625e-05
99,35639,0.65385,0.29752,0.97627,0.95767,0.98481,0.97252,0.86414,0.8136,0.4497,1.26144,3.725e-05,3.725e-05,3.725e-05
100,35882.1,0.6474,0.29603,0.97768,0.96945,0.98257,0.97429,0.86661,0.81062,0.45394,1.25554,2.4875e-05,2.4875e-05,2.4875e-05
